text,category,priority,split,department,is_roman
"Assalam o alaikum, paani ka pressure bohot kam hai at Clifton Block A, for two days now. please look into it in the coming days Thank you. Again, paani ka pressure bohot kam hai.",water,medium,train,Water Supply,1
the main water pipe is leaking badly at near the petrol pump in orangi town and nobody has come to check since friday. please look into it in the coming days. it is causing inconvenience and should be fixed soon,water,medium,train,Water Supply,0
"I WANT TO REPORT THAT BIJLI NAHI AA RAHI HAMARE BLOCK ME IN FRONT OF SECTOR 5-C, SHAH FAISAL COLONY, AND WE HAVE COMPLAINED AT THE LOCAL OFFICE TWICE ALREADY WITH NO RESULT BARA MEHERBANI HO GI, JALDI MASLA HAL KARAIN.",electricity,medium,train,Electricity & Streetlights,1
"this has become a serious health hazard for the whole area street light band hai kai hafton se at Gadap Town Block 5. We reuest immediate attention. Again, street light band hai kai hafton se.",electricity,high,train,Electricity & Streetlights,1
paani ka pressure bohot kam hai. location: near the katchi abadi in defence view. this has become a serious health hazard for the whole area thank you.,water,high,train,Water Supply,1
"the gutter has been overflowing at Street 14, Gadap Town near a primary school and nobody has come to check since Friday. there is a government school right next to it and hundreds of children pass daily",drainage,high,train,Drainage & Sewerage,0
"This is to bring to your attention that the following problem at Block 2, Malir: shopkeepers throw their leftovers directly onto the pavement here. kindly send someone to look at it in the next few days. It is causing inconvenience and should be fixed soon",waste,medium,test,Sanitation & Solid Waste,0
"Reporting an issue - residents near Block A, Kemari are affected because pani ki line leak ho rahi hai. there is no urgency, please handle it in the routine schedule. A minor problem which can wait for the normal schedule Regards.",water,low,test,Water Supply,1
"For for two days now now, a sinkhole has opened in the road surface where it meets the service lane around Sector 5-C, Malir. Please do the needful.",road,medium,test,Roads & Infrastructure,0
"Respected sir, wires are hanging loose from the pole in front of on Abul Hasan Isphahani Road, & elderly patients live in this lane & cannot step outside",electricity,high,train,Electricity & Streetlights,0
KINDLY NOTE THAT OUR OVERHEAD TANK NEVER FILLS EVEN AFTER FOUR HOURS OF SUPPLY SINCE THE LAST MONSOON AT JAMSHED ROAD LANE 3 NEAR A MADRASSA. PLEASE TAKE ACTION!!!,water,high,train,Water Supply,0
"At Phase 2, Federal B Area, the nallah beside the colony is choked with solid waste for the past six weeks. this has become a serious health hazard for the whole area",drainage,high,train,Drainage & Sewerage,0
"i want to report that bijli nahi aa rahi hamare block me since yesterday at gadap town lane 3. thank you. bara meherbani ho gi, jaldi masla hal karain.",electricity,medium,train,Electricity & Streetlights,1
"Assalam o alaikum, the road has caved in after the rain in front of Kemari Block 5 near a maternity home, and it is urgent because a school is right beside it",road,high,train,Roads & Infrastructure,0
"the manhole is spilling sewage continuously at on Stadium Road and nobody has come to check since yesterday. low priority, only mentioning it so it is on record",drainage,low,train,Drainage & Sewerage,0
chain lifting on motorcycles happens almost every evening at this turn; this situation at on Nishtar Road has continued since this morning. it is causing inconvenience & should be fixed soon Requesting the department to act.,safety,medium,test,Public Safety,0
"At Nazimabad Gali No 7, the water that comes is muddy and smells of chemicals since this morning. it is a small issue but plesae note it for the record",water,low,train,Water Supply,0
"Please be informed that the transformer keeps tripping again and again in front of House 4-B, Gadap Town, and the whole block has been suffering and tempers are rising",electricity,high,train,Electricity & Streetlights,0
Kindly note that broken road with loose gravel everywhere near near a bank branch in Gulberg Town. it is causing inconvenience and should be fixed soon Shukriya.,road,medium,train,Roads & Infrastructure,0
loudspeakers from a marriage hall run past midnight every weekend. Location: near the petrol pump in Jamshed Road. we have complained at the lcoal office twice already with no result. Kindly send someone to loook at it in the next few days Thank you.,other,medium,train,General Administration,0
the community hall booking process is completely opaque at near a bank branch in Shah Faisal Colony This has been the case since Friday just a routine request nothing urgent at all,other,low,train,General Administration,0
"At Orangi Town, rash driving by mini buses has caused several near misses since this morning. our family has been facing this for several days now. Please arrange for the concerned staff to check it",safety,medium,train,Public Safety,0
the refuse dump beside our wall has doubled in size this month; this situation at near the katchi abadi in Gulberg Town has continued for more than 20 days. this has been troubling the residents of our building Awaiting your response.,waste,medium,test,Sanitation & Solid Waste,0
"please be informed that raat ko nashe wale jama htoe hain, dar lagta hai in front of on tariq road, and we hvae complained at the locsl office twice already with no result",safety,medium,train,Public Safety,1
